code,status,name,periodicidad,n,bloque_sondeo
95001,http_400,NA,NA,0,IMAE-CIIU
95003,http_400,NA,NA,0,IMAE-CIIU
95004,http_400,NA,NA,0,IMAE-CIIU
95005,http_400,NA,NA,0,IMAE-CIIU
95006,http_400,NA,NA,0,IMAE-CIIU
95007,http_400,NA,NA,0,IMAE-CIIU
95008,http_400,NA,NA,0,IMAE-CIIU
95009,http_400,NA,NA,0,IMAE-CIIU
95010,http_400,NA,NA,0,IMAE-CIIU
95011,http_400,NA,NA,0,IMAE-CIIU
95014,http_400,NA,NA,0,IMAE-CIIU
95040,http_400,NA,NA,0,IMAE-CIIU
95052,http_400,NA,NA,0,IMAE-CIIU
95053,http_400,NA,NA,0,IMAE-CIIU
95054,http_400,NA,NA,0,IMAE-CIIU
95055,http_400,NA,NA,0,IMAE-CIIU
95057,http_400,NA,NA,0,IMAE-CIIU
95059,http_400,NA,NA,0,IMAE-CIIU
95060,http_429,NA,NA,0,IMAE-CIIU
95061,http_429,NA,NA,0,IMAE-CIIU
95062,http_429,NA,NA,0,IMAE-CIIU
95063,http_429,NA,NA,0,IMAE-CIIU
95064,http_429,NA,NA,0,IMAE-CIIU
95065,http_429,NA,NA,0,IMAE-CIIU
95066,http_429,NA,NA,0,IMAE-CIIU
95067,http_429,NA,NA,0,IMAE-CIIU
95068,http_429,NA,NA,0,IMAE-CIIU
95069,http_429,NA,NA,0,IMAE-CIIU
95070,http_429,NA,NA,0,IMAE-CIIU
95071,http_429,NA,NA,0,IMAE-CIIU
95072,http_429,NA,NA,0,IMAE-CIIU
95073,http_429,NA,NA,0,IMAE-CIIU
95074,http_429,NA,NA,0,IMAE-CIIU
95075,http_429,NA,NA,0,IMAE-CIIU
95076,http_429,NA,NA,0,IMAE-CIIU
95077,http_429,NA,NA,0,IMAE-CIIU
95078,http_429,NA,NA,0,IMAE-CIIU
95079,http_429,NA,NA,0,IMAE-CIIU
95080,http_429,NA,NA,0,IMAE-CIIU
95081,http_429,NA,NA,0,IMAE-CIIU
95082,http_429,NA,NA,0,IMAE-CIIU
95083,http_429,NA,NA,0,IMAE-CIIU
95084,http_429,NA,NA,0,IMAE-CIIU
95085,http_429,NA,NA,0,IMAE-CIIU
95086,http_429,NA,NA,0,IMAE-CIIU
95087,http_429,NA,NA,0,IMAE-CIIU
95088,http_429,NA,NA,0,IMAE-CIIU
95089,http_429,NA,NA,0,IMAE-CIIU
95090,http_429,NA,NA,0,IMAE-CIIU
95091,http_429,NA,NA,0,IMAE-CIIU
95093,http_400,NA,NA,0,IMAE-CIIU
95095,http_400,NA,NA,0,IMAE-CIIU
95096,http_400,NA,NA,0,IMAE-CIIU
95097,http_429,NA,NA,0,IMAE-CIIU
95098,http_400,NA,NA,0,IMAE-CIIU
